"County","Race","mean_graduation_rate","Household.Income.by.Race"
"Adams","White",0.800192264214286,55360
"Asotin","Two Or More",0.8,32339
"Asotin","White",0.758062455625,54681
"Benton","Native American",0.723892773714286,49052
"Benton","Asian",0.8343414774,99038
"Benton","Black",0.720109326533333,40461
"Benton","Two Or More",0.8107647080625,52213
"Benton","White",0.805528187957143,74706
"Chelan","Two Or More",0.82627314825,77104
"Chelan","White",0.855225495967742,62587
"Clallam","Native American",0.631794232833333,35165
"Clallam","Asian",0.6776837825,51486
"Clallam","Black",0.4368720655,31601
"Clallam","Two Or More",0.674235826166667,31657
"Clallam","White",0.7504815394,57373
"Clark","Native American",0.76648098625,63939
"Clark","Asian",0.897990937214286,89583
"Clark","Black",0.853570135578947,61475
"Clark","Pacific Islander",0.7623443154375,66505
"Clark","Two Or More",0.836658184547619,69662
"Clark","White",0.886632261857143,78601
"Columbia","White",0.800843254,59313
"Cowlitz","Native American",0.842105263,56106
"Cowlitz","Asian",0.795,73889
"Cowlitz","Two Or More",0.847454111,49853
"Cowlitz","White",0.832372277433333,59228
"Douglas","Two Or More",0.879629629666667,33056
"Douglas","White",0.9071118025,68853
"Ferry","Native American",0.675605739583333,39861
"Ferry","White",0.554499251,42606
"Franklin","Native American",0.2,43194
"Franklin","Asian",0.8660009554,66302
"Franklin","Black",0.7487877569,54643
"Franklin","Two Or More",0.848083513833333,62700
"Franklin","White",0.752561739619048,71882
"Garfield","White",0.854294828,58875
"Grant","Native American",0.770076638,54207
"Grant","Asian",0.9,48977
"Grant","Black",0.816287878666667,51827
"Grant","Two Or More",0.783977997,50905
"Grant","White",0.805748928254902,64530
"Grays Harbor","Native American",0.653493352636364,50000
"Grays Harbor","Asian",0.8444444445,60156
"Grays Harbor","Two Or More",0.835306591636364,50359
"Grays Harbor","White",0.81466448745614,50547
"Island","Black",0.83133116875,67813
"Island","Two Or More",0.880802818,68773
"Island","White",0.784527416037037,70585
"Jefferson","White",0.892453913653846,60443
"King","Native American",0.730515104428571,52281
"King","Asian",0.836499163759036,114303
"King","Black",0.76325490378481,53961
"King","Pacific Islander",0.752405715928571,73312
"King","Two Or More",0.782342469858268,82133
"King","White",0.831636135228324,103793
"Kitsap","Native American",0.836368479,64464
"Kitsap","Asian",0.878701158923077,71568
"Kitsap","Black",0.8246236020625,53797
"Kitsap","Pacific Islander",0.7624011895,79821
"Kitsap","Two Or More",0.830533782388889,70501
"Kitsap","White",0.823931349818182,81528
"Kittitas","Two Or More",0.78726604275,31992
"Kittitas","White",0.827849497346154,61633
"Klickitat","Native American",0.686580086333333,35202
"Klickitat","Two Or More",0.9,47461
"Klickitat","White",0.893124516666667,57417
"Lewis","Asian",0.796969697,71667
"Lewis","Two Or More",0.644193564,63963
"Lewis","White",0.783360032986301,54594
"Lincoln","White",0.968278616,59591
"Mason","Native American",0.7766537707,45294
"Mason","Two Or More",0.7862212596,45938
"Mason","White",0.825953448806452,62370
"Okanogan","Native American",0.631317838,41343
"Okanogan","Asian",0.9,58380
"Okanogan","Two Or More",0.78467000825,44931
"Okanogan","White",0.82795340425,49346
"Pacific","Two Or More",0.70790333675,25208
"Pacific","White",0.769090898782609,51728
"Pend Oreille","White",0.8734795538,56185
"Pierce","Native American",0.742900905571429,63848
"Pierce","Asian",0.849074040967742,72378
"Pierce","Black",0.759155895397727,55447
"Pierce","Pacific Islander",0.837171557128205,80055
"Pierce","Two Or More",0.806047251454545,67736
"Pierce","White",0.810622237226601,80647
"San Juan","White",0.803440835076923,65142
"Skagit","Native American",0.608839304928571,53281
"Skagit","Asian",0.869810783888889,95764
"Skagit","Two Or More",0.746697656230769,79821
"Skagit","White",0.800812580322034,71412
"Skamania","White",0.871912097083333,68257
"Snohomish","Native American",0.653391038705882,85250
"Snohomish","Asian",0.903022249032258,107582
"Snohomish","Black",0.771848630647059,69357
"Snohomish","Pacific Islander",0.779040556833333,80553
"Snohomish","Two Or More",0.828224910813559,79777
"Snohomish","White",0.793798855507463,90134
"Spokane","Native American",0.7456847864,42021
"Spokane","Asian",0.890097401071429,56989
"Spokane","Black",0.810740794285714,42163
"Spokane","Pacific Islander",0.709483747307692,45625
"Spokane","Two Or More",0.8358451829,59952
"Spokane","White",0.837744467521739,60939
"Stevens","Native American",0.73396836,34570
"Stevens","Two Or More",0.749308755666667,34700
"Stevens","White",0.733238165979167,55691
"Thurston","Native American",0.661205911,64602
"Thurston","Asian",0.923108607181818,66995
"Thurston","Black",0.841914837615385,75363
"Thurston","Pacific Islander",0.793397003,48203
"Thurston","Two Or More",0.850498185205882,67875
"Thurston","White",0.843425197521739,77705
"Wahkiakum","White",0.870967742,54926
"Walla Walla","Two Or More",0.834188034333333,45156
"Walla Walla","White",0.768447799275862,62819
"Whatcom","Native American",0.670620507863636,40882
"Whatcom","Asian",0.859400228,81227
"Whatcom","Black",0.821082695625,56302
"Whatcom","Two Or More",0.828972754153846,49283
"Whatcom","White",0.849711390173333,66498
"Whitman","Asian",0.881538461666667,31705
"Whitman","Two Or More",0.896296296333333,32060
"Whitman","White",0.899454812153846,44522
"Yakima","Native American",0.54735688665625,42632
"Yakima","Asian",0.792511029571429,45389
"Yakima","Black",0.731723877857143,45802
"Yakima","Two Or More",0.803284323363636,58750
"Yakima","White",0.763072200185185,56287
